,Time (s), Time (min), Total Electrical Energy, Change in Energy,Wmax,xi,yi,zi,group_idx,area,separation,w_vol,w_time,eta_c,eta_m
2795,3255.0,54.25,27143700000.0,-1945000000.0,57.119659999999996,215.0,204.0,80.0,10,663.4345884054605,3655.0,1589.68359375,3000,0.012031372638410559,0.07165566963973224
2796,3255.0,54.25,27143700000.0,-2236050000.0,57.119659999999996,222.0,249.0,39.0,10,304.6733339173003,3870.0,1589.68359375,3000,0.008396039881021842,0.08237823141281403
2797,3255.0,54.25,27143700000.0,-7405400.0,57.119659999999996,222.0,249.0,39.0,10,0.5462972739192882,215.0,1589.68359375,3000,0.27913829450774835,0.0002728220544730453
2798,3255.0,54.25,27143700000.0,-2001010000.0,57.119659999999996,222.0,249.0,39.0,10,334.6991208497948,2633.75,1589.68359375,3000,0.010049825732569236,0.073719131879589
2799,3256.0,54.2666666666667,23904600000.0,-2637480000.0,57.15891,214.0,202.0,80.0,10,178.0143786997095,2795.0,1589.68359375,3000,0.07951212192771402,0.11033357596445872
2800,3256.0,54.2666666666667,23904600000.0,-942563000.0,57.15891,241.0,339.0,71.0,10,393.7042469911435,3225.0,1589.68359375,3000,0.008518492660097193,0.039430193351907165
2801,3257.0,54.2833333333333,25434300000.0,-585421000.0,57.17905,221.0,247.0,38.0,10,157.10641090123997,2687.5,1589.68359375,3000,0.005958526541977031,0.023016988869361453
2802,3257.0,54.2833333333333,25434300000.0,-535987000.0,57.17905,221.0,247.0,38.0,10,264.4668945758666,3440.0,1589.68359375,3000,0.0025318470093922568,0.021073393016517065
2803,3258.0,54.3,26767200000.0,-1110490000.0,57.19866999999999,200.0,337.0,43.0,10,187.4904333581061,2795.0,1589.68359375,3000,0.010568025272887657,0.0414869691263935
2804,3258.0,54.3,26767200000.0,-661763000.0,57.19866999999999,215.0,254.0,34.0,10,248.2493000829376,2311.25,1589.68359375,3000,0.004400264288363694,0.024722907140081893
2805,3259.0,54.3166666666667,26138600000.0,-3218600000.0,57.23231,213.0,204.0,81.0,10,352.0158887458008,4085.0,1589.68359375,3000,0.0345875001662229,0.12313589863267352
2806,3259.0,54.3166666666667,26138600000.0,-1064200000.0,57.23231,216.0,254.0,35.0,10,301.70880725398683,3547.5,1589.68359375,3000,0.003907954788452965,0.04071373371182849
2807,3259.0,54.3166666666667,26138600000.0,-356245000.0,57.23231,216.0,254.0,35.0,10,197.31370330611145,3010.0,1589.68359375,3000,0.002357554289589018,0.01362907730329857
2808,3260.0,54.3333333333333,26568000000.0,-2844270000.0,57.25175,213.0,203.0,81.0,10,294.368871475677,3816.25,1589.68359375,3000,0.03912448329202127,0.10705623306233063
2809,3260.0,54.3333333333333,26568000000.0,-877284000.0,57.25175,217.0,254.0,36.0,10,366.4544726159685,3010.0,1589.68359375,3000,0.0032204442520071667,0.03302032520325203
2810,3261.0,54.35,28451100000.0,-2715890000.0,57.262719999999995,216.0,202.0,79.0,10,161.9528289198909,2687.5,1589.68359375,3000,0.09085122701802592,0.09545817209176446
2811,3261.0,54.35,28451100000.0,-524109000.0,57.262719999999995,221.0,247.0,38.0,10,326.7097274176826,2418.75,1589.68359375,3000,0.0028502406587199466,0.018421396712253655
